uid,video_id,start_seconds,stop_seconds,narration,verb,noun,location
0,P01_01,0.14,3.37,open door,open,door,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
1,P01_01,4.37,6.17,turn on light,turn-on,light,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
2,P01_01,6.98,9.49,close door,close,door,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
3,P01_01,12.77,13.99,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
4,P01_01,15.25,16.4,take celery,take,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
5,P01_01,16.5,18.06,take container,take,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
6,P01_01,18.19,21.14,take tofu,take,tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
7,P01_01,21.91,23.33,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
8,P01_01,23.18,24.29,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
9,P01_01,24.48,27.94,take carrots and,take,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
10,P01_01,24.97,26.2,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
11,P01_01,29.22,31.32,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
12,P01_01,36.68,37.78,put down vegetables,put-down,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
13,P01_01,41.79,42.55,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
14,P01_01,43.2,46.64,take cutting board,take,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
15,P01_01,46.45,47.81,put down cutting board,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
16,P01_01,47.75,48.76,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
17,P01_01,51.66,53,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
18,P01_01,53.5,56,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
19,P01_01,53.55,54.36,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
20,P01_01,54.73,55.74,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
21,P01_01,56.1,56.6,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
22,P01_01,57.45,58.7,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
23,P01_01,59.05,62.3,open tap,open,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
24,P01_01,61.86,65.23,wash courgette,wash,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
25,P01_01,65.2,73.13,still washing courgette,wash,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
26,P01_01,74.28999999999999,78.89,wash carrot,wash,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
